Mon Jun 21 07:18:45 2021,B00DUCIK7U,5095.0,5095.0,5445.0,https://m.media-amazon.com/images/I/81wGRwNp2VL._AC_UL320_.jpg,https://www.amazon.in/dp/B00DUCIK7U,,Deal of the Day,4.2,1777,6.42791551882461,Chronograph Black Men Watch CH2882
Mon Jun 21 08:24:48 2021,B00FRCNR6U,1299.0,1299.0,1841.0,https://m.media-amazon.com/images/I/61A1kzMhPiL._AC_UL320_.jpg,https://www.amazon.in/dp/B00FRCNR6U,,Deal of the Day,4.3,2803,29.440521455730583,Nylon 55 cms Blue Travel Duffle (40X (0) 01 008)
Mon Jun 21 08:28:36 2021,B00FRCNSZ0,1499.0,1499.0,1899.0,https://m.media-amazon.com/images/I/61A1kzMhPiL._AC_UL320_.jpg,https://www.amazon.in/dp/B00FRCNSZ0,,Deal of the Day,4.3,1663,21.0637177461822,Nylon 65 cms Blue Travel Duffle (40X (0) 01 009)
Mon Jun 21 08:32:15 2021,B00GRROOOS,4225.0,4225.0,4695.0,https://m.media-amazon.com/images/I/61s6PtyT-YL._AC_UL320_.jpg,https://www.amazon.in/dp/B00GRROOOS,,Deal of the Day,4.4,630,10.010649627263046,Enticer Chronograph Black Dial Men's Watch - MTP-1374L-1AVDF (A834)
Mon Jun 21 08:52:19 2021,B00GRRPNXO,3755.0,3755.0,4695.0,https://m.media-amazon.com/images/I/715TnysbqHL._AC_UL320_.jpg,https://www.amazon.in/dp/B00GRRPNXO,,Deal of the Day,4.3,232,20.02129925452609,Enticer Multi-Dial Men's White Watch - MTP-1374L-7AVDF (A835)
Mon Jun 21 09:46:02 2021,B00GRRSHQE,4495.0,4495.0,4995.0,https://m.media-amazon.com/images/I/612MKEB1IvL._AC_UL320_.jpg,https://www.amazon.in/dp/B00GRRSHQE,,Deal of the Day,4.5,140,10.01001001001001,Enticer Black Dial Men's Watch - MTP-1375D-1AVDF (A836)
Mon Jun 21 07:22:51 2021,B00GSJ3V08,2040.0,2040.0,2550.0,https://m.media-amazon.com/images/I/81tDxVjyTYL._AC_UL320_.jpg,https://www.amazon.in/dp/B00GSJ3V08,,Deal of the Day,4.4,547,20.0,Fits and Forms Analog Silver Dial Women's Watch NM6091SL01/NN6091SL01
Mon Jun 21 09:47:22 2021,B00H0BHGZ4,5845.0,5845.0,6495.0,https://m.media-amazon.com/images/I/81xYyuXFVxL._AC_UL320_.jpg,https://www.amazon.in/dp/B00H0BHGZ4,,Deal of the Day,4.3,225,10.007698229407236,Edifice Chronograph White Dial Men's Watch - EFR-526L-7AVUDF (EX097)
Mon Jun 21 07:18:38 2021,B00HFPIIOI,805.0,805.0,995.0,https://m.media-amazon.com/images/I/61lIqh7l1vL._AC_UL320_.jpg,https://www.amazon.in/dp/B00HFPIIOI,,Deal of the Day,4.5,3630,19.09547738693467,Youth Series Digital Black Dial Unisex Watch - F-91W-1Q(D002)
Mon Jun 21 09:50:19 2021,B00HY5OS34,2795.0,2795.0,3495.0,https://m.media-amazon.com/images/I/71+Rb6dbmmL._AC_UL320_.jpg,https://www.amazon.in/dp/B00HY5OS34,,Deal of the Day,4.3,188,20.028612303290416,Monochrome Analog Pink Dial Women's Watch NM6078SM07 / NL6078SM07
Mon Jun 21 08:30:52 2021,B00I3WUZVQ,1103.0,1103.0,1295.0,https://m.media-amazon.com/images/I/51ZRwglSVkL._AC_UL320_.jpg,https://www.amazon.in/dp/B00I3WUZVQ,,Deal of the Day,4.3,1437,14.826254826254825,Brown Men's Wallet (TW106LM1DB)
Mon Jun 21 09:46:31 2021,B00INX2G9E,2322.0,2322.0,2695.0,https://m.media-amazon.com/images/I/71F0lJNt5lL._AC_UL320_.jpg,https://www.amazon.in/dp/B00INX2G9E,,Deal of the Day,4.0,640,13.840445269016696,Analog Multi-Color Men Watch TI000U90300
